res	var	per	id	start	end	ismeta	path
soil	daily	historical	2985	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_2985.txt.gz
soil	daily	historical	3015	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3015.txt.gz
soil	daily	historical	3023	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3023.txt.gz
soil	daily	historical	3028	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3028.txt.gz
soil	daily	historical	303	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_303.txt.gz
soil	daily	historical	3031	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3031.txt.gz
soil	daily	historical	3032	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3032.txt.gz
soil	daily	historical	3034	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3034.txt.gz
soil	daily	historical	3042	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3042.txt.gz
soil	daily	historical	3044	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3044.txt.gz
soil	daily	historical	3083	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3083.txt.gz
soil	daily	historical	3086	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3086.txt.gz
soil	daily	historical	3093	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3093.txt.gz
soil	daily	historical	3098	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3098.txt.gz
soil	daily	historical	3126	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3126.txt.gz
soil	daily	historical	3137	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3137.txt.gz
soil	daily	historical	314	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_314.txt.gz
soil	daily	historical	3147	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3147.txt.gz
soil	daily	historical	3155	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3155.txt.gz
soil	daily	historical	3158	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3158.txt.gz
soil	daily	historical	3164	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3164.txt.gz
soil	daily	historical	3166	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3166.txt.gz
soil	daily	historical	3167	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3167.txt.gz
soil	daily	historical	3181	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3181.txt.gz
soil	daily	historical	3196	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3196.txt.gz
soil	daily	historical	320	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_320.txt.gz
soil	daily	historical	3204	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3204.txt.gz
soil	daily	historical	3226	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3226.txt.gz
soil	daily	historical	3231	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3231.txt.gz
soil	daily	historical	3234	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3234.txt.gz
soil	daily	historical	3244	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3244.txt.gz
soil	daily	historical	3254	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3254.txt.gz
soil	daily	historical	3257	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3257.txt.gz
soil	daily	historical	3268	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3268.txt.gz
soil	daily	historical	3271	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3271.txt.gz
soil	daily	historical	3278	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3278.txt.gz
soil	daily	historical	3284	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3284.txt.gz
soil	daily	historical	3287	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3287.txt.gz
soil	daily	historical	3289	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3289.txt.gz
soil	daily	historical	330	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_330.txt.gz
soil	daily	historical	3307	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3307.txt.gz
soil	daily	historical	3319	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3319.txt.gz
soil	daily	historical	3321	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3321.txt.gz
soil	daily	historical	3340	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3340.txt.gz
soil	daily	historical	3348	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3348.txt.gz
soil	daily	historical	3362	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3362.txt.gz
soil	daily	historical	3366	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3366.txt.gz
soil	daily	historical	3376	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3376.txt.gz
soil	daily	historical	3379	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3379.txt.gz
soil	daily	historical	3402	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3402.txt.gz
soil	daily	historical	342	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_342.txt.gz
soil	daily	historical	3426	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3426.txt.gz
soil	daily	historical	3442	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3442.txt.gz
soil	daily	historical	3484	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3484.txt.gz
soil	daily	historical	3485	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3485.txt.gz
soil	daily	historical	3490	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3490.txt.gz
soil	daily	historical	3509	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3509.txt.gz
soil	daily	historical	3513	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3513.txt.gz
soil	daily	historical	3527	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3527.txt.gz
soil	daily	historical	3540	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3540.txt.gz
soil	daily	historical	3545	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3545.txt.gz
soil	daily	historical	3552	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3552.txt.gz
soil	daily	historical	3571	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3571.txt.gz
soil	daily	historical	3591	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3591.txt.gz
soil	daily	historical	3603	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3603.txt.gz
soil	daily	historical	3612	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3612.txt.gz
soil	daily	historical	3621	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3621.txt.gz
soil	daily	historical	3623	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3623.txt.gz
soil	daily	historical	3631	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3631.txt.gz
soil	daily	historical	3639	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3639.txt.gz
soil	daily	historical	3660	NA	NA	FALSE	soil/daily/historical/derived_germany_soil_daily_historical_3660.txt.gz
